Timestep,L.ASIS,L.Ankle,L.Biceps,L.Clavicle,L.Elbow,L.Forearm,L.Heel,L.Knee,L.MT5,L.PSIS,L.SH1,L.SH2,L.SH3,L.Shoulder,L.TH1,L.TH2,L.TH3,L.TH4,L.Toe,L.Wrist,R.ASIS,R.Ankle,R.Biceps,R.Clavicle,R.Elbow,R.Forearm,R.Heel,R.Knee,R.MT5,R.PSIS,R.SH1,R.SH2,R.SH3,R.SH4,R.Shoulder,R.TH1,R.TH2,R.TH3,R.Toe,R.Wrist,S2
171,0.0223403,0.00592044,0.00240201,0.00506754,0.00981577,0.00215832,0.00992853,0.0110038,0.00685395,0.00239345,0.00185129,0.0069597,0.00798735,0.0185959,0.0155326,0.0130582,0.0135548,0.0129249,0.0133859,0.0127761,0.0182985,0.00443897,0.00303257,0.00726363,0.00377466,0.00186061,0.0105941,0.00839187,0.00861945,0.0020141,0.0051983,0.00462667,0.00968054,0.0110153,0.0104039,0.00742977,0.00778974,0.0064338,0.00863602,0.00191312,0.0092163
172,0.022474,0.00535308,0.00237808,0.00521991,0.00983318,0.00218038,0.00929907,0.0106368,0.0062415,0.00245919,0.00232132,0.00707154,0.00787637,0.0183466,0.0162745,0.0134281,0.0152291,0.0133637,0.0132398,0.0127663,0.018528,0.00397517,0.00237849,0.00719523,0.00345748,0.00172125,0.0103554,0.00854682,0.00899726,0.00201825,0.00495845,0.00465494,0.0099361,0.0109711,0.010296,0.00712481,0.00712557,0.00615561,0.0105121,0.00164158,0.0091856
173,0.0226104,0.00496756,0.00226516,0.00535899,0.00990894,0.00218708,0.00873568,0.0104408,0.00549827,0.0023939,0.00261317,0.00724931,0.00779644,0.0181207,0.0169166,0.013708,0.0164603,0.0140622,0.0127565,0.0127064,0.0183624,0.00355778,0.00185387,0.00714015,0.00318084,0.00160837,0.0102323,0.00860703,0.0096073,0.00185087,0.00472774,0.00460956,0.0101927,0.0109574,0.010156,0.00684723,0.00664899,0.0058393,0.0128205,0.00144166,0.00902019
174,0.0226016,0.00468027,0.00190513,0.00540593,0.00987433,0.00197062,0.00832889,0.0102411,0.00516836,0.00255053,0.00305552,0.00761008,0.00786341,0.0179342,0.017865,0.0141111,0.0171802,0.0148461,0.0123003,0.012586,0.0183575,0.00309401,0.00135921,0.00699585,0.00286535,0.00152618,0.00963386,0.00864202,0.0104809,0.00185145,0.00437937,0.00456111,0.0102389,0.0106324,0.0100358,0.00662653,0.00650273,0.00560241,0.0144303,0.00118835,0.00905975
175,0.0226054,0.00442944,0.00116474,0.00545728,0.00992112,0.00188214,0.00834801,0.010001,0.0047834,0.00321847,0.00356914,0.00813864,0.00823732,0.0177399,0.0191239,0.0147268,0.0180074,0.0158594,0.0119114,0.0126051,0.0184998,0.00265676,0.000994964,0.00689378,0.00254781,0.00135035,0.00899364,0.00883403,0.0116061,0.00249891,0.00408523,0.0046296,0.01048,0.0103612,0.00989799,0.00678029,0.00658565,0.00538453,0.0163451,0.000962692,0.00932168
176,0.0226649,0.00457542,0.000945033,0.0054058,0.00998468,0.00193932,0.00900574,0.0099147,0.0047369,0.00392282,0.00420848,0.00875858,0.00873778,0.017572,0.0204574,0.0154253,0.0191197,0.0169636,0.0117058,0.0125651,0.0186084,0.00260984,0.00102292,0.00686074,0.00228695,0.00123991,0.00853307,0.00915326,0.013011,0.00272233,0.00386637,0.00481326,0.0109616,0.0103633,0.00977122,0.00704661,0.00633962,0.00523639,0.0188396,0.000830465,0.00957383
177,0.0227004,0.00526232,0.000947802,0.00528781,0.00990782,0.00180329,0.0104755,0.00994046,0.00490316,0.00463204,0.00478518,0.00939508,0.00930237,0.0173755,0.0217346,0.015996,0.0209485,0.0179416,0.0121955,0.012422,0.0187784,0.00324595,0.00135226,0.00680118,0.00198749,0.00123712,0.00785845,0.00954559,0.0143483,0.00246,0.00369577,0.00498309,0.0112594,0.0102048,0.00972047,0.0070885,0.00532544,0.00537491,0.0206019,0.000574166,0.00982966
178,0.0227388,0.00624091,0.000966849,0.00534595,0.00982329,0.00160681,0.012467,0.00991647,0.00546086,0.00528406,0.00547595,0.00981592,0.00987097,0.0172155,0.0229123,0.0164894,0.0229658,0.0188773,0.013393,0.0121367,0.0188884,0.00400061,0.0017126,0.0066654,0.00169191,0.00130537,0.00725686,0.00986062,0.0159398,0.00260002,0.00358917,0.00531579,0.0117468,0.0101401,0.00962776,0.0075171,0.00510966,0.00566496,0.0226714,0.000343666,0.0100192
179,0.0227432,0.00718826,0.000868734,0.00538027,0.00970574,0.00134347,0.0145949,0.00989752,0.00609956,0.00606147,0.00603592,0.0100161,0.0103595,0.017065,0.0240484,0.0171549,0.0246936,0.0199646,0.0149257,0.0119575,0.0190973,0.00506256,0.00207974,0.00655832,0.0014212,0.00127258,0.00637352,0.0101134,0.0171191,0.00296819,0.00340519,0.00547934,0.0118242,0.0096264,0.00960492,0.00840662,0.00521863,0.00588346,0.0236714,0.000172617,0.0103321
180,0.0228064,0.00806998,0.000837379,0.00529452,0.00961918,0.0013456,0.0166314,0.00988187,0.00696468,0.00674444,0.00637203,0.010083,0.0107399,0.0168891,0.0250148,0.017827,0.0260941,0.0210951,0.0166527,0.0118596,0.0192527,0.00622269,0.00245443,0.00648494,0.0011897,0.00118729,0.00581747,0.0102458,0.0182835,0.00350375,0.0032595,0.00561335,0.0118063,0.00907641,0.00959155,0.00921664,0.00691337,0.00610841,0.0249739,5.19548e-05,0.0106819
181,0.0228423,0.00894601,0.000839866,0.00521991,0.00957018,0.00142138,0.018663,0.00993786,0.00804506,0.00731474,0.0067382,0.0101404,0.0109926,0.0167175,0.0256183,0.0182838,0.0270164,0.0220694,0.0184393,0.011836,0.0193435,0.00725361,0.00273426,0.00641615,0.00102619,0.00125644,0.00561334,0.0104561,0.0199509,0.00408123,0.00308023,0.00582491,0.0118124,0.00867351,0.00956433,0.00927566,0.00819394,0.00637553,0.0271862,0.000297719,0.0109482
182,0.0226607,0.00962745,0.000822975,0.00515586,0.00939668,0.00135251,0.0203453,0.0100014,0.00900031,0.00782031,0.00708525,0.0102963,0.0112078,0.0165212,0.0259016,0.0186059,0.0278073,0.0226568,0.0200418,0.0117564,0.0194577,0.00843566,0.00310796,0.00619766,0.00102868,0.00153931,0.00562132,0.0107498,0.0211937,0.00459054,0.00267363,0.00584333,0.0113542,0.00773123,0.00953965,0.0101011,0.00851327,0.00674762,0.0283299,0.000765592,0.0111753
183,0.0226278,0.0100011,0.000894298,0.00510176,0.00919292,0.0015196,0.0215222,0.0100162,0.0098413,0.00822483,0.00724706,0.0104218,0.0114932,0.0163756,0.025822,0.0187748,0.0282795,0.0228944,0.0214517,0.0115979,0.019539,0.00953848,0.00353086,0.00592569,0.00104948,0.00175727,0.00569347,0.0110716,0.0225019,0.00513821,0.00227369,0.00589121,0.0109562,0.00679791,0.0094811,0.0111684,0.0082983,0.00725234,0.0298916,0.00107381,0.0112425
184,0.0227164,0.0101939,0.000939896,0.0049464,0.0090578,0.00168053,0.0221121,0.0100108,0.0105917,0.00855319,0.00750822,0.0106393,0.0117694,0.0162299,0.0257347,0.0185229,0.0284214,0.0226364,0.0225199,0.0114517,0.0195372,0.0106729,0.00386349,0.00578878,0.00105643,0.00177386,0.00581458,0.0113881,0.024011,0.00558692,0.00209709,0.00608143,0.0106276,0.00592547,0.00947117,0.0123308,0.00881356,0.00759428,0.0319347,0.00123752,0.0111204
185,0.0227368,0.0101867,0.000963446,0.00490208,0.00880657,0.00161901,0.022211,0.0100009,0.0106757,0.00886796,0.00778651,0.0108592,0.0118698,0.0160188,0.0256221,0.0182639,0.028463,0.0221111,0.0227431,0.0113369,0.0195289,0.0118017,0.00412978,0.00562873,0.00108679,0.00165586,0.00644145,0.0116669,0.0246496,0.00598271,0.00194752,0.00615012,0.00994253,0.00484338,0.00953303,0.0136887,0.00968795,0.00789942,0.0324643,0.00134247,0.0106948
186,0.0227288,0.00936671,0.00104649,0.00482226,0.00866061,0.00149381,0.020549,0.0101085,0.0107439,0.00896355,0.00771688,0.0104934,0.0111728,0.0158923,0.0252799,0.0177708,0.0280463,0.0209632,0.0222946,0.0113076,0.0195029,0.0127584,0.00419562,0.00550399,0.00112772,0.00164611,0.00692406,0.0118697,0.0254367,0.00642102,0.00189411,0.00631672,0.00944629,0.00412249,0.00953272,0.0152999,0.010803,0.00844982,0.0334569,0.00140569,0.0103559
187,0.0226555,0.0093354,0.00110618,0.00487583,0.00852366,0.00168182,0.020574,0.010117,0.00992382,0.00892228,0.00725816,0.0100521,0.0112115,0.0158205,0.0235095,0.0164229,0.0258272,0.018592,0.020761,0.0111853,0.0194337,0.0134736,0.00432169,0.00533081,0.00118954,0.00171062,0.00718878,0.0119977,0.0264973,0.00686377,0.00200738,0.00648579,0.0093228,0.00371278,0.00952328,0.0168424,0.0121218,0.00903914,0.035142,0.00150512,0.0100171
188,0.0224673,0.00875108,0.00127356,0.00475332,0.00834226,0.0019273,0.0192618,0.0100651,0.00929113,0.0088345,0.00658054,0.00875914,0.0103202,0.0157432,0.0215297,0.0148481,0.0231771,0.015923,0.0192172,0.0110509,0.0194775,0.0139876,0.00448935,0.0052313,0.00124486,0.00168595,0.00784264,0.0121967,0.0265973,0.00716664,0.00163079,0.00656188,0.00894977,0.00303932,0.00957636,0.0188448,0.0138105,0.00978727,0.0352669,0.00155897,0.00982337
189,0.0223362,0.00766878,0.00132692,0.00469515,0.00828163,0.00222882,0.0169322,0.00989744,0.00880672,0.00883628,0.00562669,0.00693902,0.00888161,0.0157486,0.0194971,0.0133908,0.0200476,0.0132928,0.0180726,0.0110174,0.0194251,0.0142429,0.00458738,0.00524362,0.0012948,0.00152221,0.00797892,0.0123378,0.027579,0.00771177,0.000930458,0.00677399,0.0092882,0.00314368,0.00962563,0.0202773,0.0152177,0.0105248,0.0372554,0.00164358,0.00991655
190,0.0221499,0.00686794,0.001492,0.00468659,0.00819583,0.00152984,0.0154479,0.00977502,0.0088349,0.00871952,0.00437039,0.0052439,0.00808782,0.0157273,0.0169525,0.0122203,0.0159359,0.0107615,0.0177389,0.0110891,0.0193607,0.0147258,0.0045277,0.00514337,0.00137843,0.00150489,0.00856115,0.0124274,0.0273105,0.00801195,0.000762099,0.00685482,0.00894608,0.00282586,0.00966436,0.0218422,0.0169318,0.0113642,0.0372564,0.0017055,0.00971848
191,0.0218614,0.00591842,0.00159846,0.00463828,0.00808732,0.000840163,0.0137668,0.00978016,0.00905921,0.00852709,0.00341036,0.00450165,0.00753442,0.0157029,0.0147842,0.0123113,0.0116921,0.00891543,0.0178489,0.0112281,0.0193942,0.0149895,0.00428475,0.00513093,0.00138859,0.00154075,0.00906969,0.0125522,0.027485,0.00807086,0.000675399,0.00694847,0.00896998,0.00307468,0.0097148,0.0227111,0.017764,0.011895,0.0382074,0.00165108,0.00933001
